keyword	patent	title	sentence	section
	US9715902	Audio-based annotation of video	Furthermore, the computer system may provide a RECOMMENDation for another content item (or multiple other content items) that includes additional audio information and additional video information based on the determined annotation items.	Furthermore, the computer system may provide a recommendation for another content item (or multiple other content items) that includes additional audio information and additional video information based on the determined annotation items. Alternatively or additionally, the computer system may provide a rating of the content item based on the determined annotation items. This rating may indicate: an estimated popularity of the content item, quality of the audio information, quality of the video information, and/or quality of the content item. Note that the recommendation and/or the rating may be determined and/or provided separately for the content item and/or the audio information and the video information.
	CN104732491A	Edge priority guide single-frame remote sensing image super-resolution processing method		
	US9418482	Discovering visited travel destinations from a set of digital images	 Further, action suggestions can RECOMMEND a book or video that describes the depicted landmark that might be of interest to the user, or a link for the user to write an email to a friend from her social network that has traveled to the depicted landmark.	When a user views images that depict the travels of her connections within the social networking system, it is common for her to desire to travel to one or more of the landmarks she has viewed. Referring again to FIG. 6, action suggestions 609 can be placed in association with the geo-recognized image 333. These action suggestions can provide a suggested action for the user: to plan travel with one or more partner sites (e.g., the fictitious TravelHelper or SeeUSA travel sites). Further, action suggestions can recommend a book or video that describes the depicted landmark that might be of interest to the user, or a link for the user to write an email to a friend from her social network that has traveled to the depicted landmark. In certain embodiments, the action suggestion can be a link to one or more partner sites, including travel, tourism, or review/rating websites, and can be provided to the user for the purpose of aiding the user to travel to the destination or venue depicted in the image. The partner sites can provide payment for appearing as an action suggestion for the user.
reidentification				
	US9535563	Internet appliance system and method	 Thus, once an object is identified, an expected change in that object will not necessitate a REIDENTIFICATION of the object.	In a preferred embodiment, a model contained in a database includes a three or more dimensional representation of an object. These models include information processed by a fractal-based method to encode repetitive, transformed patterns in a plane, space, time, etc., as well as to include additional degrees of freedom, to compensate for changes in morphology of the object, to allow continuous object identification and tracking. Thus, once an object is identified, an expected change in that object will not necessitate a reidentification of the object. According to one embodiment, a fractal-like processing is executed by optical elements of an optical or optical hybrid computer. Further, in order to temporarily store an optical image, optically active biological molecules, such as bacteriorhodopsins, etc. may be used. Liquid crystals or other electrophotorefractive active materials may also used. These imagers may be simple two dimensional images, holograms, or other optical storage methods. A preferred holographic storage method is a volume phase hologram, which will transform an impressed image, based on hologram to image correlation. Thus, these models would be somewhat linear transform independent, and would likely show some (planar) transform relationship. Thus, an optical computer may be advantageous because of its high computational speed as compared to digital computers for image analysis, due to inherent parallelism and high inherent speed.
	USRE46310	Ergonomic man-machine interface incorporating adaptive pattern recognition based control system	 Thus, once an object is identified, an expected change in that object will not necessitate a REIDENTIFICATION of the object.	In a preferred embodiment, a model contained in a database includes a three or more dimensional representation of an object. These models include information processed by a fractal-based method to encode repetitive, transformed patterns in a plane, space, time, etc., as well as to include additional degrees of freedom, to compensate for changes in morphology of the object, to allow continuous object identification and tracking. Thus, once an object is identified, an expected change in that object will not necessitate a reidentification of the object. According to one embodiment, a fractal-like processing is executed by optical elements of an optical or optical hybrid computer. Further, in order to temporarily store an optical image, optically active biological molecules, such as bacteriorhodopsins, etc. may be used. Liquid crystals or other electrophotorefractive active materials may also used. These imagers may be simple two dimensional images, holograms, or other optical storage methods. A preferred holographic storage method is a volume phase hologram, which will transform an impressed image, based on hologram to image correlation. Thus, these models would be somewhat linear transform independent, and would likely show some (planar) transform relationship. Thus, an optical computer may be advantageous because of its high computational speed as compared to digital computers for image analysis, due to inherent parallelism and high inherent speed.
	US9607245	Adapted vocabularies for matching image signatures with fisher vectors	In accordance with another aspect of the exemplary embodiment, a method for generating a system for object REIDENTIFICATION includes providing a universal generative model generated using local descriptors extracted from images in a training set.	In accordance with another aspect of the exemplary embodiment, a method for generating a system for object reidentification includes providing a universal generative model generated using local descriptors extracted from images in a training set. The universal generative model is adapted to a first camera to obtain a first camera-dependent generative model using local descriptors extracted from images captured by the first camera. The universal generative model is adapted to a second camera to obtain a second camera-dependent generative model using local descriptors extracted from images captured by the first camera. A component is provided for computing at least one of an image-level representation of a first image using the first camera-dependent generative model, and an image-level representation of a first image using the first camera-dependent generative model. A component is provided for computing a similarity between the first image-level descriptor and the second image-level descriptor.
	US10361802	Adaptive pattern recognition based control system and method	 Thus, once an object is identified, an expected change in that object will not necessitate a REIDENTIFICATION of the object.	In a preferred embodiment, a model contained in a database includes a three or more dimensional representation of an object. These models include information processed by a fractal-based method to encode repetitive, transformed patterns in a plane, space, time, etc., as well as to include additional degrees of freedom, to compensate for changes in morphology of the object, to allow continuous object identification and tracking. Thus, once an object is identified, an expected change in that object will not necessitate a reidentification of the object. According to one embodiment, a fractal-like processing process is executed by optical elements of an optical or optical hybrid computer. Further, in order to temporarily store an optical image, optically active biological molecules, such as bacteriorhodopsins, etc. may be used. Liquid crystals or other electrophotorefractive active materials may also used. These imagers may be simple two dimensional images, holograms, or other optical storage methods. A preferred holographic storage method is a volume phase hologram, which will transform an impressed image, based on hologram to image correlation. Thus, these models would be somewhat linear transform independent, and would likely show some (planar) transform relationship. Thus, an optical computer may be advantageous because of its high computational speed as compared to digital computers for image analysis, due to inherent parallelism and high inherent speed.
	CN107944340A	A kind of combination is directly measured and the pedestrian of indirect measurement recognition methods again		
security				
	US9483689	Biometric matching technology	 The system 300 also determines whether the context of the situation is in a crime-sensitive area or jewelry store, whether the context of the situation is in an airport or railway station, whether the context of the situation is in a public transport location, a public park, or vehicular surveillance, or whether the context of the situation is in home SECURITY or school campus SECURITY.	The system 300 references the data structure 1500 in setting the batch size. For example, the system 300 determines the context and criticality of the situation based on user input, a pre-defined setting, and/or an alert feed (e.g., a threat level alert provided by a government organization or other organization). In this example, the system 300 determines whether the criticality of the situation is very high, high, medium, or low. The system 300 also determines whether the context of the situation is in a crime-sensitive area or jewelry store, whether the context of the situation is in an airport or railway station, whether the context of the situation is in a public transport location, a public park, or vehicular surveillance, or whether the context of the situation is in home security or school campus security. Based on the determinations, the system 300 references the data structure 1500 and sets the batch size as the number of images defined by the data structure 1500. For instance, the system 300 selects fifty images based on determining that the criticality is very high and the context is in a crime-sensitive area or jewelry store, selects twenty images based on determining that the criticality is high and the context is in an airport or railway station, selects ten images based on determining that the criticality is medium and the context is in a public transport location, a public park, or vehicular surveillance, and selects five images based on determining that the criticality is low and the context is in home security or school campus security.
	US10679044	Human action data set generation in a machine learning system	 Thus, this new data generation technique can improve the performance of current machine learning-based human action recognition computer vision systems, which may be used in, for example, SECURITY surveillance, sports analysis, smart home devices, and health monitoring.	The disclosed solution enables generation of human action video clips from a small set of original human action video clips without costly and time-consuming data acquisition. Moreover, by independently modeling action, subject, and context, the disclosed solution can generate any number of human action videos with varying backgrounds, human appearances, actions, and ways each action is performed. Further, through use of the generative model trained on a small labeled dataset of skeleton trajectories of human actions as described above with the first aspect, the system described herein may allow the use of unlimited unlabeled human action videos in training. Thus, this new data generation technique can improve the performance of current machine learning-based human action recognition computer vision systems, which may be used in, for example, security surveillance, sports analysis, smart home devices, and health monitoring.
	US10540749	System and method for learning-based image super-resolution	 For example, the application device can perform SECURITY applications.	Additionally, or alternatively, the output interface includes an application interface adapted to connect the image processing system 300 to an application device that can operate based on results of image upsampling and super-resolution. For example, the application device can perform security applications. For example, the application device can be operatively connected to the image generator trained by the image processing system 300 and being configured to upsample an input image using the image generator and perform a control action based on the upsampled input image.
	WO2019212749A1	Stabilizing video to reduce camera and face movement		
	US9292969	Dimensioning system calibration systems and methods	 Such functionality may include system SECURITY settings, system configuration settings, language preferences, dimension and volume preferences, and the like.	The processor(s) 220 can execute one or more instruction sets that are stored in whole or in part in the non-transitory, machine-readable storage media 218. The machine executable instruction set(s) can include instructions related to basic functional aspects of the one or more processors 220, for example data transmission and storage protocols, communication protocols, input/output (“I/O”) protocols, USB protocols, and the like. Machine executable instruction sets related to all or a portion of the calibration and dimensioning functionality of the dimensioning system 110 and intended for execution by the processor(s) 220 while in calibration or pre-run time mode, in run time mode, or combinations thereof may also be stored within the one or more non-transitory, machine-readable storage media 218, of the processor(s) 220, or within both the non-transitory, machine-readable storage media 218 and the processor(s) 220. Additional dimensioning system 110 functionality may also be stored in the form of machine executable instruction set(s) in the non-transitory, machine-readable storage media 218. Such functionality may include system security settings, system configuration settings, language preferences, dimension and volume preferences, and the like.
sex				
	CN106999111A	System and method for detecting invisible human emotion		
	WO2018134829A1	Method for sex sorting of mosquitoes and apparatus therefor		
	CN107704800A	Face identification method, system and its application system		
	CN103164858A	Adhered crowd segmenting and tracking methods based on superpixel and graph model	S13, build a weighted graph model according to human body prior shape information and colouring information on the super pixel segmentation figure of prospect, find optimal segmentation border between the adhesion target by the method for seeking optimal path, concrete steps are: S131, build a body shape model, and human body target is carried out template matches; S132, the limit on pixel segmentation figure super according to prospect and the shape difference of the object module opposite SEX build the shape weight on border; S133, the color distortion on pixel segmentation figure super according to prospect between every limit adjacent area block of pixels builds the color weight on border; S134 determines that one cuts apart starting point and end point, finds the path of Least-cost on weighted graph, is the optimal segmentation border of adhesion human body.	S13, build a weighted graph model according to human body prior shape information and colouring information on the super pixel segmentation figure of prospect, find optimal segmentation border between the adhesion target by the method for seeking optimal path, concrete steps are: S131, build a body shape model, and human body target is carried out template matches; S132, the limit on pixel segmentation figure super according to prospect and the shape difference of the object module opposite sex build the shape weight on border; S133, the color distortion on pixel segmentation figure super according to prospect between every limit adjacent area block of pixels builds the color weight on border; S134 determines that one cuts apart starting point and end point, finds the path of Least-cost on weighted graph, is the optimal segmentation border of adhesion human body.
	US10665326	Deep proteome markers of human biological aging and methods of determining a biological aging clock	 Many studies analyzing transcriptomes or proteomes of biopsies in a variety of diseases indicated that age and SEX of the patient have significant effects on gene expression and subsequent protein production and that there are noticeable changes in gene expression with age in mice, resulting in development of mouse aging gene expression databases and in humans.	Many biomarkers of aging have been proposed including telomere length, intracellular and extracellular aggregates, racemization of the amino acids and genetic instability. Gene expression and DNA methylation profiles change during aging, which also may be used as biomarkers of aging. As a result, protein production profiles that are translated from the genetically expressed mRNA may correspondingly be used as biomarkers of aging. Many studies analyzing transcriptomes or proteomes of biopsies in a variety of diseases indicated that age and sex of the patient have significant effects on gene expression and subsequent protein production and that there are noticeable changes in gene expression with age in mice, resulting in development of mouse aging gene expression databases and in humans.
sexuality				
	EP2960828A1	Face authentication device and face authentication method		
social network				
	US10586372	Online modeling for real-time facial animation	 Compared to communication via recorded video streams that only offer limited ability to alter the appearance of users, facial animation opens the door to fascinating new applications in computer gaming, SOCIAL NETWORKs, television, training, customer support, or other forms of online interactions.	Recent advances in real-time performance capture have brought within reach a new form of human communication. Capturing dynamic facial expressions of users and re-targeting these facial expressions on digital characters enables a communication using virtual avatars with live feedback. Compared to communication via recorded video streams that only offer limited ability to alter the appearance of users, facial animation opens the door to fascinating new applications in computer gaming, social networks, television, training, customer support, or other forms of online interactions. However, a successful deployment of facial animation technology at a large scale puts high demands on performance and usability.
	US8923570	Automated memory book creation	 Facial recognition may include the use of a database of known individuals, such a collection of images from a SOCIAL NETWORK, or a locally compiled database of images where individuals are pre-identified.	At 312, an image score may be determined or adjusted based on the identity of one or more individuals in an image through the use of facial recognition processes to determine the identity of individuals in the image. Facial recognition may include the use of a database of known individuals, such a collection of images from a social network, or a locally compiled database of images where individuals are pre-identified. An image score may be calculated or adjusted based on the frequency with which an individual appears in a set of images that are being analyzed, or the frequency in which images of the individual appears in a user's social network or local collection of images.
	US9357123	Image defocus blur estimation	, Snapfish®, Shutterfly®, and the like), photo storage and/or sharing services Flickr®), SOCIAL NETWORK services (e.	The environment 100 further depicts one or more service providers 112, configured to communicate with computing device 102 over a network 114, such as the Internet, to provide a “cloud-based” computing environment. Generally speaking, service providers 112 are configured to make various resources 116 available over the network 114 to clients. In some scenarios, users may sign up for accounts that are employed to access corresponding resources from a provider. The provider may authenticate credentials of a user (e.g., username and password) before granting access to an account and corresponding resources 116. Other resources 116 may be made freely available, (e.g., without authentication or account-based access). The resources 116 can include any suitable combination of services and/or content typically made available over a network by one or more providers. Some examples of services include, but are not limited to, photo editing services, image illustrating services, photo printing services (e.g., Snapfish®, Shutterfly®, and the like), photo storage and/or sharing services Flickr®), social network services (e.g., Facebook®, Twitter®, Instagram®, Hyperlapse®, and the like), and so forth.
	WO2019212749A1	Stabilizing video to reduce camera and face movement		
	US10129464	User interface for creating composite images	” The user interface may provide one or more user interface elements (fields) corresponding to one or more target destinations, such as an electronic storage, a server of a SOCIAL NETWORK site (e.	 FIG. 5C illustrate an exemplary interface for sharing composite images. The composite image displayed in the user interface may correspond to the composite image selected by the user (e.g., via the slider element shown in FIGS. 5A, 5B). The user interface may provide context for the sharing operation via text “SHARE THIS PHOTO.” The user interface may provide one or more user interface elements (fields) corresponding to one or more target destinations, such as an electronic storage, a server of a social network site (e.g., Facebook, Twitter, Instagram, etc.), a data server (e.g., Vimeo, Dropbox), and/or other destinations. Responsive to a user's selection of sharing the selected composite image(s), the selected composite image(s) may be communicated to one or more target destination via wired and/or wireless communications interface.
street				
	US9363489	Video analytics configuration	 Additionally, cameras may cover crowded areas and may include objects which are occluded by other objects, for example static occlusions where an urban feature occludes a portion of a STREET thereby occluding pedestrians and vehicles passing behind the urban feature or where pedestrians are occluded by each other such as in crowded environments.	Additionally, many video surveillance networks cover a wide geographic area and may have non-overlapping or non-contiguous view field coverage. Additionally, cameras may cover crowded areas and may include objects which are occluded by other objects, for example static occlusions where an urban feature occludes a portion of a street thereby occluding pedestrians and vehicles passing behind the urban feature or where pedestrians are occluded by each other such as in crowded environments.
	US9729787	Camera calibration and automatic adjustment of images	A large portion of consumer photos contain man-made structures, such as urban scenes with buildings and STREETs, and indoor scenes with walls and furniture.	A large portion of consumer photos contain man-made structures, such as urban scenes with buildings and streets, and indoor scenes with walls and furniture. However, photographing these structures properly is not an easy task. Photos taken by amateur photographers often contain slanted buildings, walls, and horizon lines due to improper camera rotations, as shown in the left column of FIG. 1.
	WO2017071926A1	Adaptive view projection for a vehicle camera system	The motion of the approaching vehicle 34 is parallel to the STREET surface, so the focus of expansion 33 is at the same height as the camera with respect to the STREET surface 16.	The motion of the approaching vehicle 34 is parallel to the street surface, so the focus of expansion 33 is at the same height as the camera with respect to the street surface 16. In a situation as shown in Fig. 6, in which the vehicles move along straight trajectories, it can also be concluded that the lines 32 through the focus of expansion are parallel to the lateral boundaries of the approaching vehicle 34 and at a right angle to the front and rear boundaries of the approach¬ ing vehicle 34. 
	US8265344	Electronic manifest of underground facility locate operation	 For example, a telephone cable located two and a half meters behind the curb of a residential STREET would be documented as being offset two and a half meters behind the curb.	It is generally recommended, or in some jurisdictions required, to document the type and number of underground facilities located, i.e. telephone, power, gas, water, sewer, etc., and the approximate geographic location of the locate marks. Often times it is also recommended or required to document the distance, or “offset” of the locate marks from environmental landmarks that exist at the dig area. An environmental landmark may include any physical object that is likely to remain in a fixed location for an extended period of time. Examples of an environmental landmark may include a tree, a curb, a driveway, a utility pole, a fire hydrant, a storm drain, a pedestal, a water meter box, a manhole lid, a building structure (e.g., a residential or office building), or a light post. For example, a telephone cable located two and a half meters behind the curb of a residential street would be documented as being offset two and a half meters behind the curb. These offsets serve as evidence supporting the location of the locate marks after those locate marks may have been disturbed by the excavation process.
	EP3579196A1	Human clothing transfer method, system and device		
surveil				
	US10250809	Video stabilization system and method	 For example, if a camera is mounted to SURVEIL an intersection, one does not want the scene to shift due to pedestrians crossing the street.	In many typical applications, it is desirable to remove background vibration while not being influenced by the movement of foreground objects. For example, if a camera is mounted to surveil an intersection, one does not want the scene to shift due to pedestrians crossing the street. In a surgical scenario, it is undesirable for surgical tools in the field of view to cause the image to shift while it is being stabilized. This is a challenging problem to solve as tool movement is unconstrained. Also, tools are generally highly textured. They are often more textured than the background scenery, which may be smooth or out of focus. In surgical applications, the subject will also not generally be still. For example, tissue is deformable and will pulse with blood flow and while being operated on. All of the previously mentioned influences can cause a stabilization algorithm to react to the outliers and introduce unnatural scene motion. The introduction of unwanted scene motion can be viewed as an artifact of stabilization.
	US9727785	Method and apparatus for tracking targets	 As one example, an unmanned aerial vehicle (UAV) may be used to SURVEIL an area and track a target of interest that is on ground.	Sensor devices are oftentimes used to generate sensor data for the purpose of tracking targets of interest. Target tracking may be performed in a number of different ways. As one example, an unmanned aerial vehicle (UAV) may be used to surveil an area and track a target of interest that is on ground. The target of interest may be, for example, but is not limited to, a ground vehicle.
	US9330315	Determining foregroundness of an object in surveillance video data	The present invention relates generally to the field of digital image processing of video SURVEILlance, and more specifically to identifying objects as either foreground or background.	The present invention relates generally to the field of digital image processing of video surveillance, and more specifically to identifying objects as either foreground or background.
	US9715639	Method and apparatus for detecting targets	 As one example, an unmanned aerial vehicle (UAV) may be used to SURVEIL an area and detect any targets of interest that are on ground.	Target detection may be performed in a number of different ways. As one example, an unmanned aerial vehicle (UAV) may be used to surveil an area and detect any targets of interest that are on ground. The target of interest may be, for example, but is not limited to, a ground vehicle, a person, or some other type of target.
	US10176405	Vehicle re-identification techniques using neural networks for image analysis, viewpoint-aware pattern recognition, and generation of multi- view vehicle representations	 This technology is useful in a variety of different contexts, such as SURVEILlance systems and intelligent transportation systems.	Generally speaking, vehicle re-identification (“vehicle re-ID”) is a technology that aims to identify a vehicle of interest across images taken by multiple cameras. For example, after a vehicle has been captured by a first camera and has exited the field-of-view (FOV) of the first camera, vehicle re-identification technologies attempt to re-identify the vehicle when it enters the FOV of other cameras. This technology is useful in a variety of different contexts, such as surveillance systems and intelligent transportation systems.
surveillance				
	US10540378	Visual search suggestions	 Examples of such client devices include personal computers, cell phones, handheld messaging devices, laptop computers, set-top boxes, personal data assistants, electronic book readers, SURVEILLANCE cameras, cameras on vehicles, helmets and glasses, and the like.	As discussed, different approaches can be implemented in various environments in accordance with the described embodiments. For example, FIG. 9 illustrates an example of an environment 900 for implementing aspects in accordance with various embodiments. As will be appreciated, although a Web-based environment is used for purposes of explanation, different environments may be used, as appropriate, to implement various embodiments. The system includes electronic client devices 902, which can include any appropriate device operable to send and receive requests, messages or information over an appropriate network 904 and convey information back to a user of the device. Examples of such client devices include personal computers, cell phones, handheld messaging devices, laptop computers, set-top boxes, personal data assistants, electronic book readers, surveillance cameras, cameras on vehicles, helmets and glasses, and the like. The network can include any appropriate network, including an intranet, the Internet, a cellular network, a local area network or any other such network or combination thereof. The network could be a “push” network, a “pull” network, or a combination thereof. In a “push” network, one or more of the servers push out data to the client device. In a “pull” network, one or more of the servers send data to the client device upon request for the data by the client device. Components used for such a system can depend at least in part upon the type of network and/or environment selected. Protocols and components for communicating via such a network are well known and will not be discussed herein in detail. Communication over the network can be enabled via wired or wireless connections and combinations thereof. In this example, the network includes the Internet, as the environment includes a Web server 906 for receiving requests and serving content in response thereto, although for other networks, an alternative device serving a similar purpose could be used, as would be apparent to one of ordinary skill in the art.
	US9808549	System for detecting sterile field events and related methods	 In previous research projects we have developed methods for dynamic networks of cameras for SURVEILLANCE [5, 28-30, 33-39].	Sensor Fusion: A crucial step in sensor fusion is the alignment and registration between sensors [10], and the ability to deal with reconfiguration of a dynamic network of sensors [35,36]. Individual raw point-clouds from different sensors can be aligned using either image-domain features (such as SIFT, HoG, STIP, etc.), or 3D features such as the ones that we proposed in [15] based on the eigenvectors of structure tensors. The space-time alignment allows for fusing of information across multiple sensors, including in particular first-person viewpoints. In previous research projects we have developed methods for dynamic networks of cameras for surveillance [5, 28-30, 33-39]. While that work provides a strong heritage to this disclosure, there are discernible differences that make this disclosure of particular interest, e.g. multiple sensor modalities (depth/IR/visible), and the fusion of first-person perspectives with third-person perspectives. For example, when employed together, multiple RGB-D sensors experience crosstalk, as each device projects its own structured light patterns over its field of view; Butler et al. [9] and Maimone and Fuchs [46] independently developed a simple hardware solution to remove such interference via gentle vibrations of the sensors. The fusion of information provided by multiple RGB-D sensors will allow for the recovery of depth and color/IR information throughout the scene. As the number of sensors viewing a particular object increases, the certainty about the object's size and position increases.
	US10679047	System and method for pose-aware feature learning		
	US9363489	Video analytics configuration	 In particular, but not exclusively, embodiments of the present invention relate to video SURVEILLANCE networks.	The present invention relates to apparatus for analyzing a sequence of video frames, a system utilizing such apparatus and a method of operating such apparatus and system. In particular, but not exclusively, embodiments of the present invention relate to video surveillance networks.
	WO2013183738A1	Information processing device, information processing method, program, and surveillance camera system		
torso				
	US9451927	Computed tomography data-based cycle estimation and four-dimensional reconstruction	 The acquisition may be designed for any application, such as a TORSO scan covering from a patient's neck or shoulder region to the hips or lower TORSO.	In act 20, data representing a patient is obtained. A CT scanner or system scans the patient. Alternatively, a CT-like or other x-ray system is used. A source and opposing detector are moved by a gantry relative to a patient. During movement or at stoppage points over a range of movement, x-ray projection images are acquired. Any scanning sequence or approach may be used, such as a helical or ciné acquisition. The acquisition may be designed for any application, such as a torso scan covering from a patient's neck or shoulder region to the hips or lower torso. Greater or lesser extent of the scan may be provided.
	US9020210	Image processing system, image processing apparatus, image processing method, and program	 The part Part 1 corresponds to the head, the part Part 2 corresponds to the TORSO, the part Part 3 corresponds to the right upper arm, the part Part 4 corresponds to the left upper arm, the part Part 5 corresponds to the right lower arm, the part Part 6 corresponds to the left lower arm, the part Part 7 corresponds to the right upper leg, the part Part 8 corresponds to the left upper leg, the part Part 9 corresponds to the right lower leg, and the part Part 10 corresponds to the left lower leg.	The human pose recognition engine 25 detects the pose of a human in an image on the basis of 10 parts Part 1 to Part 10 as shown in FIG. 7. The part Part 1 corresponds to the head, the part Part 2 corresponds to the torso, the part Part 3 corresponds to the right upper arm, the part Part 4 corresponds to the left upper arm, the part Part 5 corresponds to the right lower arm, the part Part 6 corresponds to the left lower arm, the part Part 7 corresponds to the right upper leg, the part Part 8 corresponds to the left upper leg, the part Part 9 corresponds to the right lower leg, and the part Part 10 corresponds to the left lower leg.
	US9904845	Body feature detection and human pose estimation using inner distance shape contexts	 For example, if the right arm is in front of the TORSO in the depth image, the right elbow and right wrist would be inside the human silhouette and not on the contour.	Due to reasons such as occlusions, some of the feature points may be inside the human silhouette. For example, if the right arm is in front of the torso in the depth image, the right elbow and right wrist would be inside the human silhouette and not on the contour. In one embodiment, in addition to detecting feature points along the contour of the human silhouette, the pose estimation system 100 applies additional techniques to detect feature points that fall inside the human silhouette, such as skeleton analysis and depth slicing analysis. Further information of the additional techniques for detecting features in the human figure is found in U.S. patent application Ser. No. 12/455,257, filed May 29, 2009, titled “Controlled Human Pose Estimation From Depth Image Streams”, and U.S. patent application Ser. No. 12/317,369, filed Dec. 19, 2008, entitled “Controlled Human Pose Estimation From Depth Image Streams”, both of which are incorporated by reference herein in their entirety. The feature points detected using different approaches can be treated as possible feature candidates and fed to the ambiguity resolve module 210 for selection. In addition, the pose estimation system 100 may augment the detected features with predicted features p obtained from forward kinematics computations of the reconstructed pose.
	US9262674	Orientation state estimation device and orientation state estimation method	 By way of example, let us suppose a case where both arms of a person are covered by the outline of his/her TORSO as viewed from a camera.	However, the related art cannot distinguish between a plurality of posture states having similar silhouettes, and thus has a problem in that the posture states of persons cannot be estimated accurately. By way of example, let us suppose a case where both arms of a person are covered by the outline of his/her torso as viewed from a camera. In this case, according to the related art, if the entire outline including the outlines of his/her head and legs is the same, the same posture state is obtained as the estimation result, regardless of whether the arms are bent or stretched and whether the arms are located in front or in back.
	US9384448	Action-based models to identify learned tasks	 The avatar 36 has a set of connected body parts including a head 38, a TORSO 40, two  upper arms  42 and 44, two  lower arms  46 and 48, two  upper legs  50 and 52, and two  lower legs  54 and 56.	The method 10 of FIG. 1 may be better understood by considering a system 18 of FIG. 2 that illustrates an embodiment of a reinforcement learning framework that supports the “learn by discovery” method 10. As shown, the system 18 includes an agent 20 that is connected to a learning environment 22 via perception and action. In the embodiment illustrated herein, the learning environment 22 is based on a simulated three dimensional world populated with various objects 34 of interest and an articulated three dimensional avatar 36. The avatar 36 has a set of connected body parts including a head 38, a torso 40, two  upper arms  42 and 44, two  lower arms  46 and 48, two  upper legs  50 and 52, and two  lower legs  54 and 56. The learning environment 22 state (s) 26 consists of the location and orientation of all three dimensional objects, the avatar 36 body parts and their associated joint angles. The agent 20 may control the avatar 36 by issuing adjustment instructions for specific joint angles in terms of positive or negative increments. The learning environment 22 combines these agent actions with additive noise resulting in adjustments to the articulation of the avatar 36. Further, an input (i) 24 is a set of synthetic images of the three dimensional world that are produced by a set of virtual cameras 58. It should be noted that in order to control the avatar 36, the agent 20 may need to employ a form of depth perception, and in one embodiment, this depth perception may be achieved by ensuring that the set of synthetic images is no less than two.
underage				
	WO2012031631A2	Method for finding and digitally evaluating illegal image material		
woman				
	US10311326	Systems and methods for improved image textures	 The WOMAN's skin tone 1006 in image 1001 b is also improved relative to the skin tone 906 in image 901 b.	 FIG. 10 shows the two images of FIG. 9 after processing by the disclosed methods and systems. The two images 1001 a-b, corresponding to images 901 a-b in FIG. 9, show improved detail when compared to the images 901 a-b of FIG. 9. For example, facial features such the lips 1005 a-b of FIG. 10 are improved relative to lips 905 a-b of FIG. 9. The woman's skin tone 1006 in image 1001 b is also improved relative to the skin tone 906 in image 901 b.  
	US10534808	Architecture for responding to visual query	 For example, in FIG. 14, the label hovering over the image of a WOMAN drinking includes a link to facial recognition results for the WOMAN and a link to image recognition results for that particular picture (e.	 FIG. 14 illustrates a client device 102 with a screen shot of an interactive results document 1200 with labels 1402 being the visual identifiers of respective sub-portions of the visual query 1102 of FIG. 11. The label visual identifiers 1402 each include a user selectable link to a subset of corresponding search results. In some embodiments, the selectable link is identified by descriptive text displayed within the area of the label 1402. Some embodiments include a plurality of links within one label 1402. For example, in FIG. 14, the label hovering over the image of a woman drinking includes a link to facial recognition results for the woman and a link to image recognition results for that particular picture (e.g., images of other products or advertisements using the same picture.)
	US9692984	Methods and systems for content processing	 If Tony is sitting in a bar, and his eye falls on a bottle of unusual beer in front of a nearby WOMAN, the system can identify his point of focal attention, and focus its own processing efforts on pixels corresponding to that bottle.	Eye tracking technology can be employed to identify which object in a field of view captured by an experiential-video sensor is of interest to the user. If Tony is sitting in a bar, and his eye falls on a bottle of unusual beer in front of a nearby woman, the system can identify his point of focal attention, and focus its own processing efforts on pixels corresponding to that bottle. With a signal from Tony, such as two quick eye-blinks, the system can launch an effort to provide candidate responses based on that beer bottle—perhaps also informed by other information gleaned from the environment (time of day, date, ambient audio, etc.) as well as Tony's own personal profile data. (Gaze recognition and related technology is disclosed, e.g., in Apple's patent publication 20080211766.)
	WO2014098308A1	Method for displaying unified app information based on open app store, and computer readable recording medium therefor		
	US10657652	Image matting using deep learning	, a person with dark hair on a white background, or a person not wearing green against a green screen), such methods cannot adequately handle complex real-life images, for example, a WOMAN wearing fur in front of a cityscape with buildings, cars, and trees.	Existing approaches generally implemented to create a matte for an image heavily rely on utilizing color to determine alpha values for pixels. That is, each of the propagation-based method, sampling-based method, and deep learning techniques described above rely on color to determine alpha values. Mattes for complex images with similar foreground/background textures and/or colors produced by such existing, color-based approaches, however, are oftentimes unsatisfactory to a user, as the resulting mattes often contain low frequency smearing or high frequency chunky artifacts. While the existing methods may perform well for high-contrast foreground/background images (e.g., a person with dark hair on a white background, or a person not wearing green against a green screen), such methods cannot adequately handle complex real-life images, for example, a woman wearing fur in front of a cityscape with buildings, cars, and trees.
